,A3-20,A3-12,A3-8,A3-4,A3-0,A2-20,A2-12,A2-8,A2-4,A2-0,A1-20,A1-12,A1-8,A1-4,A1-0
gene_Tb427VSG-3039,8.988426466124,8.973550391920485,8.960881568580078,8.667530895843017,9.49253545782911,8.80058699951986,8.955194584505978,8.778050504657946,8.682379423575298,9.464022955643088,9.341745548447733,9.085600646629059,9.007269123433264,8.581458430827713,9.403835690258273
gene_Tb427VSG-23,7.717779216421029,6.160641628219036,5.985635337344762,4.911136230288819,5.803641346241534,6.695853197091327,6.175268014592396,5.405639320541681,4.763063266470857,5.82417159705394,7.747750011286859,6.568951202428358,5.97480045242088,4.862107896540662,5.739504751834725
gene_Tb427VSG-649,8.0277760361183,7.5214885347613745,6.928072367577635,6.528684812665267,7.154447415107602,8.07711222919308,7.383679753733912,6.84221930903336,6.656224525582363,7.149067349006632,8.046995791305958,7.291029876348515,7.055062937879066,6.466829337130108,7.0735282101647226
gene_Tb427VSG-22,9.085600646629059,8.473820565381658,8.283677440759641,7.780929547465276,8.299895854042461,8.810359434296014,8.497394822110778,8.045139550395168,7.702451336750441,8.290997511938393,9.173615694471023,8.80058699951986,8.43783605383457,7.873962909725424,8.20757934647811
gene_Tb427VSG-1387,3.0825390329007636,4.227017161314053,4.7141765588646205,5.046966577389774,6.4867271952573144,3.2088910908504324,4.194948937128531,4.395199512025601,5.007646973832019,6.549832541952705,3.0825390329007636,4.00054812684025,4.557560833492749,4.900145186246791,6.356824715713322
gene_Tb427VSG-662,-2.448446588184802,-1.9306020288462635,-2.0058264049070162,-2.0014461059724677,0.5702382807122044,-2.6750161443968006,-2.4916843003517313,-2.4284615310556914,-1.82976710380448,0.46234513978056135,-1.2590640507622712,-1.5899960007497569,-3.3887959616992083,-0.677741907246193,0.8501489252349241
gene_Tb427VSG-825,-5.21228192152537,-5.421182532481272,-5.861578944039937,-2.950483297637308,0.5388331401262763,-5.214023024182317,-5.6706828752150065,-5.602011085152626,-3.5924995194537486,0.5388331401262763,-5.248829445703939,-5.347707632443426,-4.886822778872948,-4.448475982292783,0.5039666824598621
gene_Tb427VSG-11,9.073531365368414,9.4810387884745,9.482829981436,10.384509228006324,11.745518907552688,9.05762042942909,9.49253545782911,9.545877340941217,10.5530418207683,11.745518907552688,9.595696579235664,9.85672888395158,9.934754912403159,10.481296420099103,11.745518907552688
gene_Tb427VSG-3,11.355033576000292,10.232222786330016,9.58476376993787,9.367194356874418,10.674849051913757,11.001722225106338,10.125258869419483,9.469664854203408,9.409171449114694,10.65315490389249,11.865995681532064,10.674849051913757,10.019991051977527,9.326750149012621,10.632062080276553
gene_Tb427VSG-6,8.709497827830152,9.049740882718336,8.990447761073899,8.947924769817764,9.934754912403159,8.682379423575298,9.014885322863542,8.905138261598179,9.038014248272066,9.908014735854566,9.014885322863542,9.217922292874777,9.160640905244891,8.947924769817764,9.784657798762996
gene_Tb427VSG-8,8.006178580035645,8.415125264446914,8.589291678113275,8.724788507031425,10.244976491910698,7.85645247762317,8.529392317447568,8.42517921179714,8.721717209171624,10.0710651801439,8.373081575421711,8.840103108764838,8.823498745934051,8.74960167063648,10.081640893312228
gene_Tb427VSG-9,7.227426919778696,7.341630471675413,7.531681197184827,7.537262114069074,9.101879916968814,6.86149440678782,7.64515386056361,7.445805076620761,7.628559064598341,9.09371321820878,7.490166442675011,8.025713230453398,8.043322751686166,7.546002946128574,8.980966798417558
gene_Tb427VSG-17,5.415539514514155,6.978602101804711,7.747750011286859,9.014885322863542,9.67529491931774,5.662178952168785,7.1820006672638375,7.599640221015777,9.01871072162815,9.724821882753776,5.800933641216124,7.4366605966902135,7.89124835308464,8.873937087394957,9.608537253103405
gene_Tb427VSG-13,1.537648489451188,3.708377791775551,5.193961773617046,5.973451410803544,8.222837974234881,1.2089010952606163,4.128914422640883,4.966685012193087,6.190822191274787,8.184861919789366,1.3214525187408785,4.330253854807042,5.585492181466132,6.1042209892747135,8.166379464227028
