,A25,A5,A9,B25,B5,B9,C25,C5,C9
gene-Tb427.BES40.1,6.350009853490905,6.5535673690260134,6.639942716937694,6.297055631666799,6.551557075656767,6.848248679860229,6.532981171815979,6.575448834922192,6.7280157234130815
gene-Tb427.BES40.2,11.197894532588709,10.913636536484095,10.589694463381381,11.080855138871474,10.913636536484095,10.64744930590703,11.197894532588709,11.02895380275515,10.575892505706221
gene-Tb427.BES40.3,11.054427696120978,10.892621593524261,10.535864727978662,11.004361889291438,10.892621593524261,10.548986090715186,11.16672399000311,10.980588278830892,10.510246834322935
gene-Tb427.BES40.4,10.261616739864472,10.172619171650453,10.139384324526178,10.271036254187024,10.309778418434743,10.271036254187024,10.233956148034732,10.207144452441035,10.233956148034732
gene-Tb427.BES40.5,11.855725363715305,11.69854201707995,11.772027493355324,11.855725363715305,11.855725363715305,11.69854201707995,11.855725363715305,11.855725363715305,11.69854201707995
gene-Tb427.BES40.6,8.912607702797528,9.07292514089114,8.891548552554518,8.97501233529852,8.942098127122279,8.955715606439474,9.005905640331072,8.77619327119184,9.01731912252898
gene-Tb427.BES40.7,8.646616735516595,8.703316852032057,8.757039929534498,8.653623874673517,8.793160782107641,8.810328928132233,8.712522002239334,8.800493635995942,8.810328928132233
gene-Tb427.BES40.8,10.913636536484095,10.760161654587915,10.935274152973784,10.892621593524261,10.872191564054008,10.81408189316268,10.743009940778434,10.852312078930282,10.81408189316268
gene-Tb427.BES40.9,7.87315124100383,7.901725143901306,8.073181604269692,7.84191632858442,8.162914895100462,8.091439161892675,7.809126651343257,8.076401218998692,8.131514045378944
gene-Tb427.BES40.10,12.07040518254883,11.855725363715305,11.855725363715305,11.953211757837021,11.953211757837021,11.855725363715305,11.953211757837021,11.953211757837021,11.855725363715305
gene-Tb427.BES40.11,8.842766364663476,8.939390855523323,8.812798257401301,8.891548552554518,8.902038238365757,8.931300998974686,8.972238753046167,8.76658534304744,8.92325852118722
gene-Tb427.BES40.12,7.70356105236214,8.06274226241901,7.820247845755115,7.885863850641033,7.949210921573643,8.237537992879233,8.134918963999885,7.942770929812063,8.202487661697587
gene-Tb427.BES40.13,7.951872236966783,8.035025792240877,8.061307145822152,7.922801890404437,8.051019971412389,8.107977019405553,7.99541008507734,8.051019971412389,8.139571717642427
gene-Tb427.BES40.14,8.609238631519762,8.76898142336533,8.759420479128064,8.64880955482732,8.852897207060526,8.798045227627888,8.586496137558841,8.835215284019833,8.802946192047024
gene-Tb427.BES40.15,7.774232220047757,7.7591175423561465,7.901725143901306,7.745126792428717,8.007987005676622,7.924124257482024,7.678380746314608,7.977213450743976,7.9175278722170805
gene-Tb427.BES40.16,11.772027493355324,11.379844938126165,11.632937909476407,11.772027493355324,11.632937909476407,11.469449709872514,11.772027493355324,11.632937909476407,11.301032011485963
gene-Tb427.BES40.17,8.820231757945677,8.90731290093017,8.852897207060526,8.928614943859236,8.870802451035711,8.93668892820726,8.90731290093017,8.78586477581118,8.988966568731836
gene-Tb427.BES40.18,9.020187892047545,9.01731912252898,9.005905640331072,9.037532498565199,9.037532498565199,9.031725589412925,8.942098127122279,8.980576673158888,8.950252279979198
gene-Tb427.BES40.19,6.718112973561663,6.799955934064117,6.95518860632456,6.57754630777883,6.846245358589345,6.768624478887889,6.511149300841508,6.633891873628683,6.698396088816751
gene-Tb427.BES40.20,10.726235860574914,10.61804199400306,10.743009940778434,10.726235860574914,10.726235860574914,10.726235860574914,10.632607733978029,10.709821642300192,10.726235860574914
gene-Tb427.BES40.21,3.2381002264482883,3.1295445408185554,3.2897308792926734,3.602849513951699,3.1561261146575856,3.4077098626493485,3.4824662642538513,3.042880329681693,3.5624666703850125
vsg-2-Tb427.BES40.22,8.870802451035711,11.772027493355324,9.31266379973291,8.888938416448394,11.772027493355324,9.349531313063572,8.771381427121621,11.772027493355324,9.391481107792297
gene-Tb427.BES129.1,3.7770328122207375,3.9228768581531335,4.297383430294696,4.082128829750096,4.472741929944931,3.955234688816897,3.848572063528368,4.249510281002971,3.790339705720768
gene-Tb427.BES129.2,8.55707744887019,8.26982713184826,7.867282073770937,8.449563117394076,8.390033479868993,7.781255550544993,8.441872746864382,8.501595826161441,7.700451967992772
gene-Tb427.BES129.3,8.266492880948539,8.003412716150958,7.5593268941192395,8.147182024494747,8.100422778492726,7.505852966848167,8.150238267551053,8.187135702724664,7.490049448763152
gene-Tb427.BES129.4,8.771381427121621,8.724108629163906,8.184033294149222,8.761804887174677,8.678064167474284,8.016868825042257,8.783440880166191,8.759420479128064,8.043595810780348
gene-Tb427.BES129.5,9.109311204778182,9.06695924253071,9.037532498565199,9.118571345098113,9.112390455838275,9.127899333002093,9.103174865299824,9.084939996024072,9.112390455838275
gene-Tb427.BES129.6,8.68041316953041,8.310605719959113,8.707912364264772,8.352243162110563,8.909957772121652,8.12626368063064,8.208868285919973,8.883732722080776,7.888494316412237
gene-Tb427.BES129.7,5.379379551492862,5.437022349022841,5.571434297933463,5.223515205519586,5.523777066654119,5.292110707278336,5.186771996153852,5.356209228807714,5.3126495526232755
gene-Tb427.BES129.8,8.596929416628138,8.495620539728417,8.703316852032057,8.470511180647312,8.67386961364446,8.439548295765334,8.416188382094123,8.667048107151977,8.477982455450611
gene-Tb427.BES129.9,5.739804289054462,5.729709037487177,5.9455303201880305,5.643741111403486,5.928411956541787,5.836356194573725,5.536414222027302,5.800012245219723,5.7506623531220855
gene-Tb427.BES129.10,7.273084671115054,7.296639297322078,7.259416063980745,7.030929328455114,7.377785778315143,6.867543247939371,7.098758942199063,7.341245492901278,6.715723204357386
gene-Tb427.BES129.11,6.72022858390358,6.793052309590544,6.97681588731972,6.6636189364552925,6.972188276758683,6.689927636198285,6.5439672094600665,6.813202789621835,6.60719389632479
gene-Tb427.BES129.12,7.576351836420283,7.298505356671891,7.717968232501573,7.6029467360652845,7.557605609252184,7.459400435483852,7.4556839323314055,7.501870286210846,7.341885706022466
gene-Tb427.BES129.13,4.1343967965408615,4.621916142324885,4.817316115505404,3.820000448698012,4.59419103829074,4.239536192769069,3.70968669802104,4.861355409912525,4.257153756404203
vsg-9-Tb427.BES129.14,10.872191564054008,11.197894532588709,11.197894532588709,10.935274152973784,11.16672399000311,11.230556096664529,10.892621593524261,11.10831696695601,11.264871421923466
gene-Tb427.BES15.1,1.724093516363303,2.7552261200040746,2.663241583560357,1.9902713919493564,2.8042299842884426,2.963042584231971,2.1813774943916995,2.9013171443963746,2.870682702369257
gene-Tb427.BES15.2,5.475989101555357,5.798732420185862,5.54093792157436,5.4747087557839205,5.900111131366709,5.6891679742129595,5.500875673193551,5.982767611525034,5.669783743685387
gene-Tb427.BES15.3,3.790339705720768,4.239536192769069,3.614733612061288,3.410865178161361,4.178792342817462,3.868473051858914,3.6698882500078196,4.245462233285627,3.795634311455362
gene-Tb427.BES15.4,6.470741712729593,6.315479317972496,6.306251170721825,6.386367425717753,6.358832190008523,6.3897438537143385,6.4262410168266,6.580746097175781,6.3434979613236235
gene-Tb427.BES15.5,3.301274884782602,3.6201572497793078,3.758636774860253,3.3391631681090432,3.6836133152405193,3.3763131913301643,3.2305737708307047,3.644215034660458,3.5284649822215295
gene-Tb427.BES15.6,3.758636774860253,3.8509647788485264,3.907243039884389,3.894552271711376,3.790339705720768,3.9761968756713846,3.8899889367860494,3.7824065110391616,3.971616252277144
gene-Tb427.BES15.7,3.5964024344195127,3.485501901881019,3.667015690943073,3.521652842864232,3.731726802524714,3.439727356205124,3.4498948275215024,3.8225899469723785,3.655738029390117
gene-Tb427.BES15.8,6.8017727938985635,6.597152040100139,6.866012483018589,6.733435207175561,6.864101565101015,6.809140725842197,6.70816327611626,6.781242968766509,6.666642498500091
gene-Tb427.BES15.9,6.124686080215217,6.011561378775508,6.1868154841699745,6.106410871292967,6.174824413627568,6.018007165788031,6.08093649618073,6.061442586597052,5.895378156260925
gene-Tb427.BES15.10,6.78200033129223,6.655356527435433,7.114104432708415,6.587562737740016,6.742599029889874,6.742929475675267,6.753038794305113,6.803813206104677,6.578721560194761
gene-Tb427.BES15.11,5.2090232005336805,4.91965868643044,5.238158165516554,5.1120424001051905,5.192649419750571,4.885581160121686,5.013918125735612,5.104608572139228,4.998538449067958
vsg-6-Tb427.BES15.12,11.953211757837021,11.953211757837021,11.953211757837021,12.07040518254883,11.69854201707995,11.953211757837021,12.07040518254883,11.69854201707995,11.953211757837021
gene-Tb427.BES28.1,7.06817061207967,6.837187441123445,6.555593456068141,6.8486232301024375,6.935899566504108,6.469952221137584,7.043231117710575,6.919248147381442,6.277087747644172
gene-Tb427.BES28.2,7.035476496185262,6.948871843416364,6.626952681949821,6.938155668342288,7.016652059221306,6.443639180563253,7.061326031008373,6.996920754480589,6.343943868512887
