,A3-20,A3-12,A3-8,A3-4,A3-0,A2-20,A2-12,A2-8,A2-4,A2-0,A1-20,A1-12,A1-8,A1-4,A1-0,length,gccontent,length_aa,length_kb,category,y1,y2,y3,std,mean
gene_Tb427VSG-3039,525.0,458.0,499.0,363.0,734.0,432.0,482.0,422.0,372.0,728.0,655.0,544.0,510.0,341.0,697.0,1346,0.505201,449.0,1.346,MC,1.3746556473829201,1.1344086021505377,1.4956011730205279,0.1838507257561237,1.3348884741846618
gene_Tb427VSG-23,177.0,67.0,55.0,29.0,49.0,87.0,62.0,40.0,26.0,50.0,182.0,82.0,55.0,27.0,48.0,1541,0.514601,514.0,1.541,MC,1.896551724137931,1.5384615384615385,2.037037037037037,0.2570804776712019,1.8240167665455023
gene_Tb427VSG-649,229.0,163.0,112.0,92.0,133.0,236.0,149.0,109.0,97.0,134.0,228.0,141.0,122.0,88.0,126.0,1361,0.511389,454.0,1.361,MC,1.2173913043478262,1.1237113402061856,1.3863636363636365,0.1331126173240924,1.2424887603058827
gene_Tb427VSG-22,588.0,317.0,286.0,189.0,289.0,442.0,339.0,231.0,177.0,286.0,607.0,429.0,320.0,196.0,269.0,1367,0.49305,456.0,1.367,MC,1.5132275132275133,1.305084745762712,1.6326530612244898,0.16577438204617712,1.4836551067382384
gene_Tb427VSG-1117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1529,0.53172,510.0,1.529,none,,,,,
gene_Tb427VSG-1387,7.0,17.0,20.0,30.0,74.0,7.0,14.0,18.0,28.0,76.0,7.0,13.0,19.0,27.0,68.0,1451,0.46933199999999997,484.0,1.451,MC,0.6666666666666666,0.6428571428571429,0.7037037037037037,0.03066197292894833,0.6710758377425045
gene_Tb427VSG-662,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,4.0,1379,0.482959,460.0,1.379,none,,,0.0,,0.0
gene_Tb427VSG-825,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1559,0.49711400000000006,520.0,1.559,none,,,,,
gene_Tb427VSG-826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1403,0.503207,468.0,1.403,none,,,,,
gene_Tb427VSG-11,1287.0,1551.0,1826.0,2419.0,6086.0,1273.0,1708.0,1746.0,2637.0,6066.0,1805.0,2114.0,2385.0,2514.0,5932.0,1556,0.49100299999999997,519.0,1.556,BES,0.7548573790822654,0.6621160409556314,0.9486873508353222,0.14622706623232196,0.7885535902910729
gene_Tb427VSG-3,4414.0,2230.0,1924.0,1417.0,3350.0,3814.0,2316.0,1592.0,1480.0,3282.0,6296.0,3145.0,2331.0,1398.0,3257.0,1529,0.506867,510.0,1.529,BES,1.3577981651376148,1.0756756756756756,1.667381974248927,0.29595933777444533,1.3669519383540727
gene_Tb427VSG-6,1055.0,1265.0,1268.0,1131.0,2499.0,1089.0,1276.0,1127.0,1224.0,2441.0,1396.0,1549.0,1470.0,1125.0,2285.0,1589,0.487728,530.0,1.589,BES,1.121131741821397,0.920751633986928,1.3066666666666666,0.19300509855152229,1.116183347491664
gene_Tb427VSG-8,525.0,689.0,837.0,830.0,2430.0,481.0,778.0,701.0,835.0,2290.0,673.0,995.0,974.0,849.0,2266.0,1400,0.49071400000000004,467.0,1.4,BES,1.008433734939759,0.8395209580838323,1.1472320376914016,0.1541009428616908,0.9983955769049976
gene_Tb427VSG-9,277.0,312.0,361.0,343.0,1109.0,212.0,364.0,325.0,352.0,1090.0,335.0,482.0,490.0,343.0,1022.0,1583,0.526848,528.0,1.583,BES,1.0524781341107872,0.9232954545454546,1.4285714285714286,0.26250020341764657,1.1347816724092235
gene_Tb427VSG-17,94.0,289.0,469.0,1074.0,1938.0,106.0,317.0,412.0,1081.0,1930.0,122.0,374.0,512.0,988.0,1831.0,1514,0.488771,505.0,1.514,BES,0.4366852886405959,0.3811285846438483,0.5182186234817814,0.06895398320364712,0.44534416558874185
gene_Tb427VSG-13,7.0,40.0,95.0,194.0,786.0,6.0,45.0,89.0,218.0,775.0,7.0,54.0,121.0,205.0,742.0,1499,0.48565699999999995,500.0,1.499,BES,0.4896907216494845,0.40825688073394495,0.5902439024390244,0.09116074509918942,0.4960638349408179
gene_Tb427VSG-1,7360.0,1597.0,927.0,416.0,559.0,5607.0,1628.0,725.0,437.0,570.0,6799.0,1752.0,934.0,392.0,537.0,1478,0.487145,493.0,1.478,MC,2.2283653846153846,1.6590389016018308,2.38265306122449,0.38112875851878575,2.090019115813902
gene_Tb427VSG-18,4.0,6.0,12.0,24.0,513.0,4.0,8.0,13.0,31.0,532.0,6.0,7.0,13.0,25.0,506.0,1580,0.48923999999999995,527.0,1.58,BES,0.5,0.41935483870967744,0.52,0.05328084479231598,0.47978494623655915
gene_Tb427VSG-21,75.0,121.0,135.0,126.0,392.0,69.0,112.0,125.0,127.0,399.0,81.0,108.0,138.0,119.0,354.0,1430,0.486713,477.0,1.43,BES,1.0714285714285714,0.984251968503937,1.1596638655462186,0.08770648099340499,1.071781468492909
gene_Tb427VSG-14,17.0,26.0,22.0,35.0,47.0,16.0,22.0,32.0,36.0,49.0,26.0,19.0,23.0,36.0,46.0,1466,0.493179,489.0,1.466,BES,0.6285714285714286,0.8888888888888888,0.6388888888888888,0.1474062584229578,0.7187830687830687
gene_Tb427VSG-15,1.0,1.0,1.0,1.0,32.0,1.0,1.0,1.0,1.0,31.0,1.0,1.0,1.0,1.0,29.0,1613,0.50651,538.0,1.613,BES,1.0,1.0,1.0,0.0,1.0
gene_Tb427VSG-397,3.0,4.0,5.0,5.0,30.0,3.0,5.0,2.0,6.0,31.0,5.0,3.0,6.0,5.0,30.0,1550,0.520645,517.0,1.55,MES,1.0,0.3333333333333333,1.2,0.45379061903693635,0.8444444444444444
gene_Tb427VSG-531,6.0,10.0,13.0,15.0,38.0,6.0,11.0,20.0,19.0,35.0,11.0,7.0,13.0,18.0,36.0,1478,0.52571,493.0,1.478,MES,0.8666666666666667,1.0526315789473684,0.7222222222222222,0.1656389090471389,0.8805068226120857
gene_Tb427VSG-653,4.0,6.0,14.0,11.0,25.0,4.0,9.0,22.0,14.0,24.0,6.0,5.0,14.0,11.0,25.0,1394,0.538737,465.0,1.394,MES,1.2727272727272727,1.5714285714285714,1.2727272727272727,0.17245527521248563,1.3722943722943723
gene_Tb427VSG-1954,2.0,1.0,2.0,1.0,13.0,2.0,2.0,2.0,2.0,15.0,4.0,1.0,2.0,1.0,15.0,1565,0.536741,522.0,1.565,MES,2.0,1.0,2.0,0.5773502691896257,1.6666666666666667
gene_Tb427VSG-24,128.0,138.0,116.0,98.0,145.0,111.0,103.0,95.0,96.0,151.0,126.0,130.0,125.0,88.0,138.0,1508,0.500663,503.0,1.508,MC,1.183673469387755,0.9895833333333334,1.4204545454545454,0.215787804849955,1.1979037827252113
gene_Tb427VSG-25,1046.0,604.0,428.0,336.0,358.0,1059.0,594.0,412.0,335.0,367.0,1080.0,659.0,516.0,314.0,360.0,1511,0.488418,504.0,1.511,MC,1.2738095238095237,1.2298507462686568,1.643312101910828,0.22708839026388677,1.3823241239963362
gene_Tb427VSG-365,121.0,159.0,157.0,212.0,250.0,138.0,158.0,147.0,204.0,251.0,132.0,179.0,182.0,183.0,241.0,1574,0.47522200000000003,525.0,1.574,MC,0.7405660377358491,0.7205882352941176,0.994535519125683,0.15272345616970256,0.8185632640518833
